url,schema_types,status
https://thanhthaimotor.com/chinh-sach-van-chuyen,"PaymentMethod, WebPage, BreadcrumbList, Organization, OfferCatalog, ContactPoint, ListItem, PostalAddress",Có Schema
https://thanhthaimotor.com/video/hop-giam-toc,"PaymentMethod, Website, VideoObject, BreadcrumbList, Organization, OfferCatalog, ContactPoint, ListItem, PostalAddress, CollectionPage",Có Schema
https://thanhthaimotor.com/en/gear-motors/wps-40-gear-motor-0-18kw-0-25hp,"PaymentMethod, BreadcrumbList, Product, Offer, Organization, OfferCatalog, Review, UnitPriceSpecification, Person, ContactPoint, AggregateRating, ListItem, PostalAddress, Rating",Có Schema
https://thanhthaimotor.com/kien-thuc-dien-co/tu-van-may-bom-nuoc/bang-gia-may-bom-nuoc-tren-3-7kw-tren-50m3-h-moi-nhat,"PaymentMethod, WebPage, VideoObject, BreadcrumbList, Organization, OfferCatalog, Person, Article, ContactPoint, ListItem, PostalAddress, ImageObject",Có Schema
https://thanhthaimotor.com/may-bom-nuoc/may-bom-nuoc-3-pha-15kw-20hp,"PaymentMethod, VideoObject, Offer, MerchantReturnPolicy, Review, Brand, ContactPoint, AggregateRating, MonetaryAmount, QuantitativeValue, PostalAddress, ListItem, ShippingDeliveryTime, Rating, ImageObject, DefinedRegion, PropertyValue, Product, BreadcrumbList, Organization, OfferCatalog, Person, OfferShippingDetails",Có Schema
https://thanhthaimotor.com/kien-thuc-dien-co/tu-van-may-bom-nuoc/nguyen-ly-hoat-dong-cua-may-bom-nuoc,"PaymentMethod, WebPage, BreadcrumbList, Organization, OfferCatalog, Person, Article, ContactPoint, ListItem, PostalAddress, ImageObject",Có Schema
https://thanhthaimotor.com/kien-thuc-dien-co/tu-van-dong-co-dien/motor-dien-ve-kho-truoc-tet-am-lich-du-cong-suat-san-hang-giao-ngay-khong-lo-tre-tien-do-cuoi-nam,"PaymentMethod, WebPage, BreadcrumbList, Organization, OfferCatalog, Person, Article, ContactPoint, ListItem, PostalAddress, ImageObject",Có Schema
https://thanhthaimotor.com/kien-thuc-dien-co/tu-van-bien-tan/bang-ma-loi-bien-tan-keb-va-huong-dan-khac-phuc-chi-tiet-nhat,"PaymentMethod, WebPage, BreadcrumbList, Organization, OfferCatalog, Person, Article, ContactPoint, ListItem, PostalAddress, ImageObject",Có Schema
"
                    https://thanhthaimotor.com/video/dong-co-giam-toc/video-review-motor-giam-toc-nmrv-63-0-75kw-1hp                ","PaymentMethod, VideoObject, BreadcrumbList, Organization, OfferCatalog, ContactPoint, ListItem, PostalAddress",Có Schema
https://thanhthaimotor.com/may-bom-nuoc-ca-sau-duoi-3-7kw,"PaymentMethod, PropertyValue, Product, Offer, BreadcrumbList, Organization, OfferCatalog, aggregateRating, Brand, ContactPoint, ListItem, PostalAddress, AggregateOffer, ImageObject, ProductGroup",Có Schema
"
                    https://thanhthaimotor.com/video/dong-co-giam-toc/video-review-motor-giam-toc-3-pha-0-8kw-1hp                ","PaymentMethod, VideoObject, BreadcrumbList, Organization, OfferCatalog, ContactPoint, ListItem, PostalAddress",Có Schema
https://thanhthaimotor.com/en/variable-frequency-drives/delta-variable-frequency-drive-5-5kw,"PaymentMethod, BreadcrumbList, Product, Offer, Organization, OfferCatalog, Review, UnitPriceSpecification, Person, ContactPoint, AggregateRating, ListItem, PostalAddress, Rating",Có Schema
https://thanhthaimotor.com/dong-co-giam-toc/motor-giam-toc-wpda-120-2-2kw-3hp,"PaymentMethod, Offer, MerchantReturnPolicy, Review, Brand, ContactPoint, AggregateRating, MonetaryAmount, QuantitativeValue, PostalAddress, ListItem, ShippingDeliveryTime, Rating, ImageObject, DefinedRegion, PropertyValue, Product, BreadcrumbList, Organization, OfferCatalog, Person, OfferShippingDetails",Có Schema
https://thanhthaimotor.com/en/3-phase-heavy-duty-r-series-inline-helical-gear-motor,"PaymentMethod, PropertyValue, Product, Offer, BreadcrumbList, Organization, OfferCatalog, aggregateRating, ContactPoint, ListItem, PostalAddress, AggregateOffer, ImageObject, ProductGroup",Có Schema
https://thanhthaimotor.com/en/electric-motors/3-phase-inverter-duty-motor-75kw-100hp,"PaymentMethod, BreadcrumbList, Product, Offer, Organization, OfferCatalog, Review, UnitPriceSpecification, Person, ContactPoint, AggregateRating, ListItem, PostalAddress, Rating",Có Schema
